County,Precinct count,Dem,Rep,Other,Ind,Libert,Green,Const,Reform,Soc Wk,Male,Female,Registered
MERCER,17,10002,6007,544,462,29,8,2,0,1,8143,8912,17055
METCALFE,12,4036,3102,280,145,6,2,2,0,0,3694,3879,7573
MONROE,12,1119,7152,200,80,4,1,0,0,2,4155,4403,8558
MONTGOMERY,18,13473,5274,697,379,17,1,1,0,0,9387,10455,19842
MORGAN,12,7860,981,144,41,4,1,0,1,0,4440,4591,9032
MUHLENBERG,25,16110,5147,936,222,20,2,1,1,0,10732,11707,22439
NELSON,24,19127,9955,2294,485,42,1,0,1,0,15139,16766,31905
NICHOLAS,5,4186,881,201,61,5,1,0,0,0,2594,2740,5335
OHIO,19,8023,8170,807,221,13,3,1,1,1,8276,8964,17240
OLDHAM,38,16370,26580,3610,1453,144,11,5,1,1,23301,24871,48175
OWEN,12,5329,2178,316,118,6,0,0,1,0,3934,4014,7948
OWSLEY,8,981,2525,65,15,1,0,0,0,1,1748,1840,3588
PENDLETON,12,5740,3641,583,210,19,1,4,0,1,5004,5195,10199
PERRY,37,15198,4868,335,295,3,4,1,1,0,9987,10717,20705
PIKE,57,34378,11907,1868,475,31,8,3,1,2,23824,24849,48673
POWELL,11,6856,2496,343,104,6,0,0,0,0,4742,5063,9805
PULASKI,56,11217,31759,2492,703,59,4,3,3,1,21952,24286,46241
ROBERTSON,5,1381,282,51,14,1,0,0,1,0,862,868,1730
ROCKCASTLE,15,2274,9227,390,213,7,4,0,2,1,5818,6299,12118
ROWAN,18,9129,4042,630,313,26,6,0,2,1,6636,7509,14149
RUSSELL,16,2942,10234,313,264,19,1,0,2,0,6606,7168,13775
SCOTT,46,18344,15463,1983,830,68,8,4,1,2,17662,19041,36703
SHELBY,34,14874,12868,1575,795,41,13,2,3,1,14224,15947,30172
SIMPSON,13,8053,3921,857,261,17,1,1,0,0,6161,6950,13111
SPENCER,14,6573,6148,635,300,20,2,0,0,0,6770,6907,13678
TAYLOR,20,7861,8915,654,266,15,2,1,0,0,8187,9526,17714
TODD,13,5899,1947,321,71,12,3,1,0,0,3908,4346,8254
TRIGG,15,6425,4160,455,311,20,2,0,0,0,5491,5881,11373
TRIMBLE,12,5159,1540,317,73,3,2,1,0,0,3491,3604,7095
UNION,16,8005,1772,385,68,6,0,0,0,0,4950,5286,10236
WARREN,121,39387,30276,4399,1945,145,31,7,1,1,35169,41020,76192
WASHINGTON,14,5396,2766,256,86,3,1,0,0,0,4060,4448,8508
WAYNE,19,5188,8704,534,116,4,0,0,0,1,7090,7457,14547
WEBSTER,14,7178,1952,361,89,7,1,1,0,0,4582,5007,9589
WHITLEY,36,6302,18860,871,450,24,6,3,0,1,12753,13763,26517
WOLFE,8,4889,559,151,24,2,0,0,0,0,2774,2851,5625
WOODFORD,19,10859,7381,1078,482,42,3,0,0,0,9276,10568,19845
